D,Year,Date,Acres,TDE1,TDE2,TSE1,TSE2,ATDE,ATSE,MLLW,CDS1,CDS2,ACDS,CDD1,CDD2,ACDD,ST,ET,S#
Polnell Point,2020,"Aug 31, 2020",41.3038560804616,13.9,,13.2,,,,,2.2,,,6.1,,, 09:20 AM, 12:10 PM,
Possession Point,2020,"June 26, 2020",11.6799906926382,16.0,,15.5,,,,,3.0,,,3.3,,, 01:50 PM, 03:00 PM,
Possession Point,2020,"July 17, 2020",24.6532246164743,15.0,,15.0,,,,,2.8,,,3.1,,, 08:15 AM, 09:15 AM,
Camano Is. SP-Lowell,2020,"Aug 22, 2020",5.85497969483596,14.3,,13.9,,,,,4.2,,,3.3,,, 01:05 PM, 03:15 PM,1.0
Camano Is. SP-Lowell,2020,"Aug 22, 2020",4.91565179825095,14.3,,13.9,,,,,4.2,,,3.3,,, 01:05 PM, 03:15 PM,2.0
Possession Point,2020,"Aug 31, 2020",51.0861695184396,15.0,,14.5,,,,,2.7,,,5.4,,, 09:10 AM, 11:12 AM,
Camano Is. SP-Lowell,2020,"Sept 16, 2020",5.17377915948649,14.0,,,,,,,5.5,,,2.9,,, 10:15 AM, 11:25 AM,
Ebey's Landing,2019,"June 21, 2019",24.9524779552518,,,,,12.0,,,3.43,,,6.17,,,12:00:00.000-07:00,14:55:00.000-07:00,
Ebey's Landing,2019,"July 18, 2019",37.1814118834297,,,,,12.0,,,4.36,,,7.41,,,11:45:00.000-07:00,14:05:00.000-07:00,
Ebey's Landing,2019,"Aug 13, 2019",40.6632284586082,,,,,13.0,,,0.38,,,5.41,,,09:30:00.000-07:00,10:32:00.000-07:00,
Polnell Point,2019,"June 20, 2019",5.85303919638601,,,,,15.0,,,2.56,,,2.56,,,12:25:00.000-07:00,15:20:00.000-07:00,
Polnell Point,2019,"July 19, 2019",14.3975407319193,,,,,16.0,,,2.44,,,4.88,,,23:50:00.000-07:00,14:30:00.000-07:00,
Polnell Point,2019,"Aug 14, 2019",41.1431585731914,,,,,15.0,,,0.4,,,4.82,,,10:40:00.000-07:00,13:15:00.000-07:00,
