parkname,family,genus,species,utm_zone,utm_x,utm_y,elev_m,coll_date
noca,Liliaceae,Tofieldia,glutinosa,10.0,638093.0,5395232.0,,2002-06-15
noca,Ericaceae,Arctostaphylos,uva-ursi,10.0,638093.0,5395232.0,,2002-06-15
noca,Droseraceae,Drosera,rotundifolia,10.0,638093.0,5395232.0,,2002-06-15
noca,Polypodiaceae,Polypodium,hesperium,10.0,641548.0,5397487.0,,2002-06-16
noca,Polypodiaceae,Polypodium,hesperium,10.0,641548.0,5397487.0,,2002-06-16
noca,Primulaceae,Trientalis,latifolia,10.0,641548.0,5397487.0,,2002-06-16
noca,Primulaceae,Trientalis,latifolia,10.0,641548.0,5397487.0,,2002-06-16
noca,Aceraceae,Acer,circinatum,10.0,641548.0,5397487.0,,2002-06-16
noca,Aceraceae,Acer,circinatum,10.0,641548.0,5397487.0,,2002-06-16
noca,Aceraceae,Acer,circinatum,10.0,641548.0,5397487.0,,2002-06-16
noca,Pteridaceae,Cryptogramma,acrostichoides,10.0,641548.0,5397487.0,,2002-06-16
noca,Pteridaceae,Cryptogramma,acrostichoides,10.0,641548.0,5397487.0,,2002-06-16
noca,Pteridaceae,Cryptogramma,acrostichoides,10.0,641548.0,5397487.0,,2002-06-16
noca,Ericaceae,Chimaphila,umbellata,10.0,645459.0,5413630.0,,2002-07-12
noca,Apiaceae,Lomatium,brandegei,10.0,645459.0,5413630.0,,2002-07-12
noca,Celastraceae,Pachistima,myrsinites,10.0,645775.0,5413602.0,,2002-07-12
noca,Celastraceae,Pachistima,myrsinites,10.0,645775.0,5413602.0,,2002-07-12
noca,Celastraceae,Pachistima,myrsinites,10.0,645775.0,5413602.0,,2002-07-12
noca,Rosaceae,Amelanchier,alnifolia,10.0,645775.0,5413602.0,,2002-07-12
noca,Rosaceae,Amelanchier,alnifolia,10.0,645775.0,5413602.0,,2002-07-12
noca,Rosaceae,Amelanchier,alnifolia,10.0,645775.0,5413602.0,,2002-07-12
noca,Philadelphaceae,Philadelphus,lewisii,10.0,645775.0,5413602.0,,2002-07-12
noca,Philadelphaceae,Philadelphus,lewisii,10.0,645775.0,5413602.0,,2002-07-12
noca,Philadelphaceae,Philadelphus,lewisii,10.0,645775.0,5413602.0,,2002-07-12
noca,Polemoniaceae,Phlox,diffusa,10.0,645714.0,5418430.0,,2002-07-13
noca,Polemoniaceae,Phlox,diffusa,10.0,645714.0,5418430.0,,2002-07-13
noca,Polemoniaceae,Phlox,diffusa,10.0,645714.0,5418430.0,,2002-07-13
noca,Rosaceae,Holodiscus,discolor,10.0,645714.0,5418430.0,,2002-07-13
noca,Rosaceae,Holodiscus,discolor,10.0,645714.0,5418430.0,,2002-07-13
noca,Rosaceae,Holodiscus,discolor,10.0,645714.0,5418430.0,,2002-07-13
noca,Scrophulariaceae,Penstemon,procerus,10.0,645318.0,5419532.0,,2002-07-13
noca,Scrophulariaceae,Penstemon,procerus,10.0,645318.0,5419532.0,,2002-07-13
noca,Scrophulariaceae,Penstemon,procerus,10.0,645318.0,5419532.0,,2002-07-13
noca,Juncaceae,Luzula,campestris,10.0,645318.0,5419532.0,,2002-07-13
noca,Scrophulariaceae,Castilleja,elmeri,10.0,645318.0,5419532.0,,2002-07-13
noca,Scrophulariaceae,Castilleja,elmeri,10.0,645318.0,5419532.0,,2002-07-13
noca,Scrophulariaceae,Castilleja,elmeri,10.0,645318.0,5419532.0,,2002-07-13
noca,Portulacaceae,Claytonia,lanceolata,10.0,645714.0,5418430.0,,2002-07-13
noca,Juncaceae,Luzula,hitchcockii,10.0,645318.0,5419532.0,,2002-07-13
noca,Juncaceae,Luzula,hitchcockii,10.0,645318.0,5419532.0,,2002-07-13
noca,Ranunculaceae,Thalictrum,occidentale,10.0,645714.0,5418430.0,,2002-07-13
noca,Ranunculaceae,Thalictrum,occidentale,10.0,645714.0,5418430.0,,2002-07-13
noca,Ranunculaceae,Thalictrum,occidentale,10.0,645714.0,5418430.0,,2002-07-13
noca,Ranunculaceae,Thalictrum,occidentale,10.0,645714.0,5418430.0,,2002-07-13
noca,Ranunculaceae,Thalictrum,occidentale,10.0,645714.0,5418430.0,,2002-07-13
noca,Rosaceae,Amelanchier,alnifolia,10.0,645714.0,5418430.0,,2002-07-13
noca,Rosaceae,Amelanchier,alnifolia,10.0,645714.0,5418430.0,,2002-07-13
noca,Rosaceae,Amelanchier,alnifolia,10.0,645714.0,5418430.0,,2002-07-13
noca,Fabaceae,Lathyrus,nevadensis,10.0,645714.0,5418430.0,,2002-07-13
noca,Fabaceae,Lathyrus,nevadensis,10.0,645714.0,5418430.0,,2002-07-13
noca,Caprifoliaceae,Lonicera,involucrata,10.0,646000.0,5415864.0,,2002-07-14
noca,Crassulaceae,Sedum,lanceolatum,10.0,646000.0,5415864.0,,2002-07-14
noca,Crassulaceae,Sedum,oreganum,10.0,646000.0,5415864.0,,2002-07-14
noca,Crassulaceae,Sedum,oreganum,10.0,646000.0,5415864.0,,2002-07-14
noca,Asteraceae,Antennaria,lanata,10.0,644075.0,5371700.0,,2002-08-10
noca,Scrophulariaceae,Veronica,cusickii,10.0,644075.0,5371700.0,,2002-08-10
noca,Saxifragaceae,Saxifraga,tolmiei,10.0,644075.0,5371700.0,,2002-08-10
noca,Brassicaceae,Smelowskia,ovalis,10.0,644075.0,5371700.0,,2002-08-10
noca,Brassicaceae,Smelowskia,ovalis,10.0,644075.0,5371700.0,,2002-08-10
noca,Brassicaceae,Smelowskia,ovalis,10.0,644075.0,5371700.0,,2002-08-10
