D,Year,date,acres,TDE1,TDE2,TSE1,TSE2,ATDE,ATSE,MLLW,CDS1,CDS2,ACDS,CDD1,CDD2,ACDD,ST,ET,S#,year
Ebey's Landing,2021,2021-08-10,37.6865442883851,12.0,,12.0,,,,,6.096,5.4864,,4.2672,,,10:30,12:02,,2021
Possession Point,2021,2021-06-16,12.5546850900943,16.0,,17.0,,,,,1.3716,3.6576,,5.6388,,,02:37,03:16,,2021
Possession Point,2021,2021-07-19,55.0691566285542,,,,,,,,,,,,,,06:50,07:43,,2021
Possession Point,2021,2021-08-11,65.7342862677644,17.0,18.0,16.0,,,,,2.1336,1.8288,,5.4864,3.3528,,12:02,01:38,,2021
Possession Point,2021,2021-09-07,51.6432828913705,14.5,15.0,15.0,,,,,3.9624,1.8288,,7.0104,4.8768,,10:22,11:58,,2021
Lowell Point,2021,2021-07-14,13.3287383677114,15.8,,16.4,,,,,1.8288,2.5908,,3.81,,,01:30,02:18,,2021
Lowell Point,2021,2021-08-11,18.8565205706982,16.1111111111111,,17.7777777777778,,,,,1.58496,3.87096,,5.85216,,,12:48,01:18,,2021
Lowell Point,2021,2021-09-19,22.8119538774044,12.7,,14.4,,,,,0.73152,3.44424,,6.18744,,,09:35,10:17,,2021
Polnell Point,2021,2021-08-24,36.4266267877824,13.7,13.9,13.6,,,,,5.1816,7.0104,,3.3528,3.6576,,11:05,12:27,,2021
Hoypus Point,2021,2021-06-07,1.55124280729337,11.0,,11.0,,,,,0.6096,1.524,,2.7432,,,10:40,11:31,,2021
Hoypus Point,2021,2021-08-11,2.10859358550931,15.0,,16.5,,,,,1.3716,2.1336,,3.2004,,,12:00,01:46,,2021
Hoypus Point,2021,2021-09-06,2.12807409625798,14.0,,16.0,,,,,1.9812,2.5908,,5.0292,,,08:42,09:28,,2021
