D,Year,date,acres,TDE1,TDE2,TSE1,TSE2,ATDE,ATSE,MLLW,CDS1,CDS2,ACDS,CDD1,CDD2,ACDD,ST,ET,S#,year
Ebey's Landing,2020,2020-06-18,17.9123615203395,11.8,,11.7,,,,,4.7,,,4.7,,, 08:55 AM, 11:45 AM,1.0,2020
Ebey's Landing,2020,2020-06-18,16.7670231267739,11.8,,11.7,,,,,4.7,,,4.7,,, 08:55 AM, 11:45 AM,2.0,2020
Ebey's Landing,2020,2020-07-18,32.6729646501294,11.5,,11.9,,,,,6.1,,,4.6,,, 09:00 AM, 11:40 AM,,2020
Ebey's Landing,2020,2020-08-30,39.9926458070707,11.9,,12.0,,,,,6.8,,,6.8,,, 08:55 AM, 11:45 AM,1.0,2020
Ebey's Landing,2020,2020-08-30,41.620421637278,11.9,,12.0,,,,,6.8,,,6.8,,, 08:55 AM, 11:45 AM,2.0,2020
Polnell Point,2020,2020-07-24,10.6644383856444,13.0,,13.2,,,,,2.9,,,3.5,,, 11:55 AM, 02:25 PM,,2020
Polnell Point,2020,2020-08-31,41.3038560804616,13.9,,13.2,,,,,2.2,,,6.1,,, 09:20 AM, 12:10 PM,,2020
Possession Point,2020,2020-06-26,11.6799906926382,16.0,,15.5,,,,,3.0,,,3.3,,, 01:50 PM, 03:00 PM,,2020
Possession Point,2020,2020-07-17,24.6532246164743,15.0,,15.0,,,,,2.8,,,3.1,,, 08:15 AM, 09:15 AM,,2020
Camano Is. SP-Lowell,2020,2020-08-22,5.85497969483596,14.3,,13.9,,,,,4.2,,,3.3,,, 01:05 PM, 03:15 PM,1.0,2020
Camano Is. SP-Lowell,2020,2020-08-22,4.91565179825095,14.3,,13.9,,,,,4.2,,,3.3,,, 01:05 PM, 03:15 PM,2.0,2020
Possession Point,2020,2020-08-31,51.0861695184396,15.0,,14.5,,,,,2.7,,,5.4,,, 09:10 AM, 11:12 AM,,2020
Camano Is. SP-Lowell,2020,2020-09-16,5.17377915948649,14.0,,,,,,,5.5,,,2.9,,, 10:15 AM, 11:25 AM,,2020
