D,Year,date,acres,TDE1,TDE2,TSE1,TSE2,ATDE,ATSE,MLLW,CDS1,CDS2,ACDS,CDD1,CDD2,ACDD,ST,ET,S#,year
Ben Ure,2018,2018-07-13,1.2164741079717,,,,,12.0,,,0.2,,,4.6,,,10:03 AM,10:30 AM,,2018
Ebey's Landing,2018,2018-07-02,18.5135467998485,,,,,12.0,,,1.9,,,6.6,,,11:55 AM,2:45 PM,,2018
Ebey's Landing,2018,2018-08-07,21.293554490128,,,,,12.0,,,2.6,,,7.0,,,7:15 AM,10:25 AM,,2018
Hoypus Point,2018,2018-07-17,2.96877435642475,,,,,13.0,,,,,,,,,11:00 AM,5:30 PM,1.0,2018
Hoypus Point,2018,2018-07-17,4.50154664773912,,,,,,,,,,,,,,,,2.0,2018
Hoypus Point,2018,2018-07-17,4.85254190616137,,,,,,,,,,,,,,,,3.0,2018
Hoypus Point,2018,2018-08-14,7.48868759318713,,,,,13.0,,,,,,,,,10:15 AM,3:00 PM,1.0,2018
Hoypus Point,2018,2018-08-14,7.37675112724887,,,,,,,,,,,,,,,,2.0,2018
Hoypus Point,2018,2018-08-14,5.70315109611443,,,,,,,,,,,,,,,,3.0,2018
Polnell Point,2018,2018-07-17,6.14601665898477,,,,,18.0,,,0.9,,,3.7,,,2:15 PM,4:15 PM,,2018
Polnell Point,2018,2018-08-08,17.3973071055418,,,,,16.0,,,,,,,,,8:16 AM,12:00 PM,,2018
Ben Ure,2018,2018-07-12,1.18759643477171,,,,,12.0,,,0.0,,,4.5,,,9:00 AM,9:50 AM,,2018
Polnell Point,2018,2018-09-10,75.7100076311966,,,,,13.0,,,3.0,,,4.7,,,9:40 AM,12:30 PM,,2018
Ebey's Landing,2018,2018-05-28,0.301318068995351,,,,,10.0,,,1.1,,,7.8,,,9:21 AM,11:22 AM,,2018
Possession Point,2018,2018-09-10,36.0072352639729,,,,,14.0,,,2.1,,,5.5,,,11:00 AM,,,2018
Possession Point,2018,2018-07-17,15.3447260407453,,,,,16.0,,,0.7,,,4.3,,,1:12 PM,2:15 PM,,2018
Possession Point,2018,2018-08-14,38.0033526381764,,,,,16.0,,,1.8,,,4.6,,,12:30 PM,1:15 PM,,2018
Possession Point,2018,2018-07-03,1.10878455365609,,,,,,,,2.0,,,4.5,,,9:20 AM,11:30 AM,,2018
Ben Ure,2018,2018-06-18,0.565008745509146,,,,,12.0,,,0.427,,,7.5,,,12:45 PM,13:41 PM,,2018
Ben Ure,2018,2018-08-24,0.998654832563139,,,,,12.0,,,0.366,,,6.3745,,,9:58 AM,11:00 AM,,2018
