D,Year,date,acres,TDE1,TDE2,TSE1,TSE2,ATDE,ATSE,MLLW,CDS1,CDS2,ACDS,CDD1,CDD2,ACDD,ST,ET,S#,year
Ben Ure Island,2017,2017-08-07,1.18986926219527,,,,,13.0,,,0.0305,,,5.8255,,,,11:25 AM,,2017
Ben Ure Island,2017,2017-07-26,1.13104699273282,,,,,12.0,,,0.1525,,,,,,,01:20 PM,,2017
Ben Ure Island,2017,2017-06-23,0.850747734821276,,,,,10.0,,,0.1525,,,3.965,,,,,,2017
Ben Ure Island,2017,2017-05-25,0.475677703824368,,,,,9.0,,,-0.01525,,,3.79725,,,,10:25 AM,,2017
Ben Ure Island,2017,2017-09-18,1.51634908387906,,,,,11.0,,,-0.2135,,,5.8865,,,,10:10 AM,,2017
Camano Is. SP-Lowell,2017,2017-07-26,3.88043209386934,,,,,14.0,,,3.0988,,,8.5888,,,12:16 PM,,,2017
Camano Is. SP-Lowell,2017,2017-08-23,13.8826243602848,,,,,0.0,,,2.135,,,3.477,,,11:15 AM,12:45 PM,,2017
Ebey's Landing,2017,2017-09-16,21.5373060267078,,,,,11.0,,,1.0675,,,7.32,,,07:50 AM,08:59 AM,,2017
Ebey's Landing,2017,2017-08-23,20.9484994133166,,,,,13.0,,,1.3725,,,7.625,,,10:20 AM,12:40 PM,,2017
Ebey's Landing,2017,2017-07-25,20.1602714267882,,,,,12.0,,,1.75375,,,6.32875,,,01:30 PM,04:10 PM,,2017
Ebey's Landing,2017,2017-06-26,14.0465603107595,,,,,11.0,,,-0.1525,,,5.3375,,,09:30 AM,12:05 PM,,2017
Hoypus Point,2017,2017-07-25,3.60620646207308,,,,,10.0,,,0.0,,,3.355,,,,12:05 PM,,2017
Hoypus Point,2017,2017-06-25,1.09793251119755,,,,,9.0,,,0.4575,,,4.4225,,,,11:28 AM,,2017
Polnell Point,2017,2017-07-26,1.31578220661175,,,,,15.0,,,0.83875,,,2.66875,,,12:10 PM,03:25 PM,,2017
Polnell Point,2017,2017-06-25,0.363808223480624,,,,,15.0,,,0.1525,,,0.7625,,,10:10 AM,01:25 PM,,2017
Polnell Point,2017,2017-08-22,9.63181694203928,,,,,16.0,,,3.965,,,,,,12:35 PM,03:20 PM,,2017
Polnell Point,2017,2017-09-18,27.4352984380766,,,,,,,,,,,,,,,,,2017
Possession Point,2017,2017-08-24,21.4868990527275,,,,,13.0,,,2.8975,,,3.8125,,,11:40 AM,,,2017
