D,Year,date,acres,TDE1,TDE2,TSE1,TSE2,ATDE,ATSE,MLLW,CDS1,CDS2,ACDS,CDD1,CDD2,ACDD,ST,ET,S#,year
Libbey Beach,2015,2015-06-14,0.755370747199,,,,,,,,,,,,,,12:00 AM,12:00 AM,,2015
Libbey Beach,2015,2015-07-18,0.580953128075,,,,,,,,-0.7625,,,0.0548999999999999,,,06:40 AM,07:16 AM,,2015
Hastie Lake,2015,2015-06-15,13.2873103922,,,,,,,,,,,,,,12:00 AM,12:00 AM,,2015
Hastie Lake,2015,2015-07-27,12.2602266409,,,,,13.8,,,-0.8418,,,0.14945,,,02:17 PM,04:28 PM,,2015
Hastie Lake,2015,2015-08-23,14.5470994014,,,,,,,,,,,,,,12:00 AM,12:00 AM,,2015
Ebey's Landing,2015,2015-06-14,9.49077941151902,,,,,11.0,,,0.82655,,,1.805295,,,09:23 AM,10:18 AM,,2015
Ebey's Landing,2015,2015-07-19,14.6257562899415,,,,,13.0,,,0.549,,,1.6714,,,12:20 PM,01:28 PM,,2015
Ebey's Landing,2015,2015-08-15,18.3718462794961,,,,,13.0,,,0.69235,,,1.6775,,,11:13 AM,12:31 PM,,2015
Ebey's Landing,2015,2015-09-26,17.8857633901287,,,,,12.0,,,0.3965,,,1.7995,,,08:40 AM,09:46 AM,,2015
Hastie Lake,2015,2015-09-20,10.01064901,,,,,,,,,,,,,,12:00 AM,12:00 AM,,2015
