D,Year,date,acres,TDE1,TDE2,TSE1,TSE2,ATDE,ATSE,MLLW,CDS1,CDS2,ACDS,CDD1,CDD2,ACDD,ST,ET,S#,year
Ebey's Landing,2022,2022-08-23,38.6307011947361,12.3,12.2,11.9,12.2,,,,3.4478,6.8006,,7.715,,,08:25,09:36,,2022
Hoypus Point,2022,2022-07-18,3.94442207412346,12.8,13.2,13.0,13.1,,,,2.5908,1.2192,,5.4864,2.1336,,03:35,04:11,,2022
Lowell Point,2022,2022-08-12,10.8849657616145,,,,,,,,,,,,,,10:40,11:21,,2022
Polnell Point,2022,2022-08-24,14.1686054040392,15.9,15.9,16.1,16.0,,,,3.38349,2.77389,,2.77389,3.38349,,09:30,10:49,,2022
Polnell Point,2022,2022-09-11,17.5618696496701,13.1,12.9,13.2,13.2,,,,1.68624,2.90544,,4.42944,3.97224,,11:34,01:34,,2022
Possession Point,2022,2022-06-19,13.5187139255526,15.0,15.0,15.0,16.0,,,,3.57543,3.88023,,3.42303,2.50863,,02:05,02:56,2.0,2022
Possession Point,2022,2022-06-19,14.9220285028655,12.5,13.0,15.0,13.0,,,,0.83223,2.35623,,5.40423,5.40423,,02:05,02:56,1.0,2022
Possession Point,2022,2022-07-25,71.1327337662147,15.0,15.5,16.5,16.0,,,,1.47846,2.69766,,5.74566,2.39286,,08:24,09:26,,2022
Possession Point,2022,2022-08-24,81.5517067576175,15.0,16.5,16.0,16.5,,,,2.02866,5.68626,,4.16226,1.72386,,08:59,10:17,,2022
Possession Point,2022,2022-09-10,88.6309006632385,14.0,14.5,14.5,14.0,,,,5.24688,5.39928,,4.78968,2.65608,,10:10,11:17,,2022
