D,Year,date,acres,TDE1,TDE2,TSE1,TSE2,ATDE,ATSE,MLLW,CDS1,CDS2,ACDS,CDD1,CDD2,ACDD,ST,ET,S#,year
Ben Ure,2016,2016-09-04,1.03891585672983,,,,,14.0,,,-0.8235,,,6.344,,,12:10 PM,01:12 PM,,2016
Ben Ure,2016,2016-08-17,1.30989714771912,,,,,13.0,,,0.061,,,5.856,,,09:50 AM,11:27 AM,,2016
Ben Ure,2016,2016-07-01,0.784478881315546,,,,,12.0,,,-0.0305,,,3.9345,,,07:53 AM,08:54 AM,,2016
Ben Ure,2016,2016-08-30,0.998760904161007,,,,,12.0,,,0.0915,,,5.978,,,10:13 AM,,,2016
Ben Ure,2016,2016-07-30,0.820194330206611,,,,,12.0,,,,,,,,,01:22 PM,01:54 PM,,2016
Ben Ure,2016,2016-08-20,1.07290815646587,,,,,,,,,,,,,,,,,2016
Camano Island,2016,2016-08-19,14.9350094847764,,,,,16.0,,,2.44,,,,,,11:22 AM,,,2016
Camano Island,2016,2016-07-23,12.8016581415828,,,,,17.0,,,2.745,,,4.575,,,11:15 AM,05:45 PM,1.0,2016
Camano Island 2,2016,2016-09-16,0.378122239467289,,,,,,,,,,,,,,,,2.0,2016
Hoypus Point,2016,2016-07-19,4.04201066734,,,,,14.0,,,0.61,,,4.7275,,,10:35 AM,11:40 AM,,2016
Hoypus Point,2016,2016-07-22,1.13414268893,,,,,12.0,,,1.9215,,,3.1415,,,05:58 PM,06:21 PM,,2016
Hoypus Point,2016,2016-08-19,3.71216504091,,,,,14.0,,,0.305,,,4.27,,,11:05 AM,11:45 AM,,2016
Hoypus Point,2016,2016-09-14,3.39397810679,,,,,13.0,,,0.122,,,4.697,,,09:18 AM,10:05 AM,,2016
Camano Island,2016,2016-09-16,18.0815277881352,,,,,14.0,,,,,,,,,10:00 AM,12:00 PM,,2016
Ebey's Landing,2016,2016-06-25,18.2824330453301,,,,,14.0,,,1.525,,,6.1,,,03:30 PM,04:15 PM,,2016
Ebey's Landing,2016,2016-07-22,20.396835455969,,,,,12.0,,,1.6775,,,6.2525,,,10:15 AM,01:30 PM,,2016
Ebey's Landing,2016,2016-08-19,18.9857398593819,,,,,13.0,,,1.3725,,,7.32,,,11:40 AM,02:40 PM,,2016
Polnell Point,2016,2016-07-04,4.75078022083784,,,,,17.0,,,2.745,,,3.66,,,11:30 AM,02:10 PM,,2016
Polnell Point,2016,2016-08-01,17.6517233951941,,,,,18.0,,,2.44,,,6.1,,,11:20 AM,02:10 PM,,2016
Polnell Point,2016,2016-08-30,36.7281957266155,,,,,17.0,,,3.965,,,6.1,,,10:30 AM,01:40 PM,,2016
